filename,photo_id,date_taken,views,longitude,latitude,owner,accuracy
photo_1.jpg,beach,39369934961,2013-12-29 15:53:55,20405,0,0,21893688@N03,0
photo_2.jpg,beach,29262432852,2016-05-06 18:06:06,5878,-117.325315,33.116130,8398907@N02,13
photo_3.jpg,beach,51201174994,2020-08-15 15:43:24,1344,-4.543889,48.243611,73422502@N08,16
photo_4.jpg,beach,51157992283,2020-08-15 15:42:56,1765,-4.543978,48.243666,73422502@N08,16
photo_5.jpg,beach,51158384536,2021-05-01 10:38:54,459,0,0,192406944@N02,0
photo_6.jpg,beach,51207175727,2021-05-26 13:52:32,697,0,0,27558040@N00,0
photo_7.jpg,beach,51206421277,2021-05-23 12:27:36,350,2.453684,41.538795,163672764@N06,15
photo_8.jpg,beach,51156038140,2021-04-08 06:12:17,420,0,0,170154904@N05,0
photo_9.jpg,beach,51169451115,2021-05-09 12:53:05,1805,0,0,141695212@N07,0
photo_10.jpg,beach,51205256437,2021-05-16 15:34:00,814,0,0,27558040@N00,0
photo_11.jpg,beach,51185405684,2021-05-15 00:00:00,1198,0,0,151652613@N06,0
photo_12.jpg,beach,51167975374,2021-04-02 05:24:05,350,0,0,170154904@N05,0
photo_13.jpg,beach,51157217085,2021-05-03 20:56:55,1016,-3.457231,51.208953,88877070@N05,14
photo_14.jpg,beach,51165462521,2021-05-03 20:38:04,717,-3.473310,51.210055,88877070@N05,14
photo_15.jpg,beach,51156108581,2021-05-03 20:39:38,500,-3.473310,51.210055,88877070@N05,14
photo_16.jpg,beach,51197739803,2016-06-22 11:41:45,666,0,0,125569843@N07,0
photo_17.jpg,beach,51170722221,2021-05-09 09:44:48,179,0,0,121600915@N06,0
photo_18.jpg,beach,51181655047,2021-05-10 21:05:54,224,-2.403602,48.641416,100461281@N04,12
photo_19.jpg,beach,51152902627,2021-05-02 22:26:59,254,0,0,157576762@N06,0
photo_20.jpg,beach,51175692504,2021-05-10 20:36:08,547,0,0,62353850@N03,0
photo_21.jpg,beach,51212034066,2021-05-28 15:51:55,968,0,0,137319556@N08,0
photo_22.jpg,beach,51196593044,2021-05-16 18:52:25,614,0,0,127935151@N05,0
photo_23.jpg,beach,51160890426,2021-05-06 16:13:45,66,0,0,191115476@N03,0
photo_24.jpg,beach,51195238943,2021-04-21 18:18:15,5684,0,0,191545066@N08,0
photo_25.jpg,beach,51209171125,2019-10-03 12:00:02,241,0,0,157408431@N02,0
photo_26.jpg,beach,51207410499,2021-03-21 18:07:44,973,0,0,183157868@N06,0
photo_27.jpg,beach,51206598389,2021-05-26 15:23:24,174,0,0,183953084@N06,0
photo_28.jpg,beach,51176233951,2021-05-11 10:27:42,683,0,0,59527557@N08,0
photo_29.jpg,beach,51179157405,2021-05-14 19:18:45,1286,0,0,190149697@N05,0
photo_30.jpg,beach,51210645614,2021-05-28 15:20:51,865,0,0,137319556@N08,0
photo_31.jpg,beach,51210076428,2021-05-28 15:13:02,692,0,0,137319556@N08,0
photo_32.jpg,beach,51156108541,2021-05-03 20:50:36,500,-3.457231,51.208953,88877070@N05,14
photo_33.jpg,beach,51198394938,2021-05-24 16:05:00,716,0,0,187065964@N06,0
photo_34.jpg,beach,51200708148,2021-05-06 13:00:00,664,0.903282,51.774683,134989406@N02,15
photo_35.jpg,beach,51183877457,2021-05-17 19:43:56,238,0,0,93547118@N08,0
photo_36.jpg,beach,51155486915,2021-05-02 20:32:48,1893,0,0,189187975@N03,0
photo_37.jpg,beach,51155432569,2021-04-18 08:36:15,1440,0,0,7391010@N04,0
photo_38.jpg,beach,51181593226,2014-03-12 10:42:35,582,0,0,33363480@N05,0
photo_39.jpg,beach,51154231116,2021-05-01 06:50:46,407,0,0,130632526@N06,0
photo_40.jpg,beach,51165436002,2012-10-10 13:03:25,651,0.978984,50.918402,27681134@N08,13
photo_41.jpg,beach,51201794825,2021-04-04 12:15:45,302,0,0,17559979@N00,0
photo_42.jpg,beach,51199224590,2021-05-23 22:20:45,2675,0,0,192951266@N08,0
photo_43.jpg,beach,51150154908,2020-09-04 08:44:51,354,0,0,74080603@N07,0
photo_44.jpg,beach,51168803486,2021-05-10 02:50:06,3692,0,0,192951266@N08,0
photo_45.jpg,beach,51212509968,2021-05-24 18:14:51,807,3.079505,51.302190,146420451@N08,0
photo_46.jpg,beach,51150786494,2021-04-24 18:29:17,550,0,0,13499964@N03,0
photo_47.jpg,beach,51192655169,2021-05-20 19:47:25,304,0,0,92855856@N00,0
photo_48.jpg,beach,51151395307,2018-02-05 14:55:20,13058,0,0,139293117@N06,0
photo_49.jpg,beach,51200500431,2021-05-06 13:46:10,670,0.899505,51.780066,134989406@N02,14
photo_50.jpg,beach,51189049333,2021-05-18 15:16:47,11309,0,0,139293117@N06,0
photo_51.jpg,beach,51182073746,2021-04-18 08:52:23,1022,0,0,7391010@N04,0
photo_52.jpg,beach,51182153968,2021-05-15 17:15:13,1250,3.064406,51.292688,146420451@N08,0
photo_53.jpg,beach,51209291701,2021-05-28 14:22:30,954,0,0,142252156@N07,0
photo_54.jpg,beach,51206172232,2021-05-25 21:15:49,6148,-3.473832,51.214209,88877070@N05,15
photo_55.jpg,beach,51178343362,2021-05-14 13:42:32,1156,0,0,189233557@N05,0
photo_56.jpg,beach,51206090741,2021-05-13 13:14:57,793,0,0,139293117@N06,0
photo_57.jpg,beach,51155237518,2021-05-03 09:57:31,760,0,0,159695098@N03,0
photo_58.jpg,beach,51179230779,2021-05-09 15:44:06,696,3.077325,51.301544,146420451@N08,16
photo_59.jpg,beach,51207884712,2021-05-15 16:13:53,570,0,0,182447164@N02,0
photo_60.jpg,beach,51187311295,2021-05-17 18:26:51,1052,0,0,62129818@N03,0
photo_61.jpg,beach,51210257298,2021-05-27 18:55:56,1001,0,0,160009022@N05,0
photo_62.jpg,beach,51201881501,2021-05-24 12:39:20,773,0,0,139293117@N06,0
